,F1_name,F1_value,F2_name,F2_value,F3_name,F3_value,F4_name,F4_value,F5_name,F5_value,label,code,date,title,url
0,화성,7.563921858697209,연구소,7.563921858697209,점검,6.341495398303565,전략,5.817856623312971,미래,5.398138337689429,,005930,2020.06.19,"[속보]이재용, 화성 삼성반도체 연구소에서 미래전략 점검",https://finance.naver.com/item/news_read.nhn?article_id=0004702066&office_id=277&code=005930&page=3&sm=
0,쇼,8.80587488303422,보나,8.325421869116017,축소,6.647750524824822,신제품,6.351468911100304,CES,6.186746644698487,,005930,2020.06.19,CES도 축소…삼성·LG 신제품 디지털 쇼로 보나,https://finance.naver.com/item/news_read.nhn?article_id=0004427597&office_id=008&code=005930&page=3&sm=
0,릴레이,6.663327521497807,급증,6.3124080320136144,피해,6.122562816942604,기부,5.71865967965341,하는,5.478827844858374,,005930,2020.06.19,"삼성, 코로나 피해 급증하는 인도에 릴레이 기부",https://finance.naver.com/item/news_read.nhn?article_id=0004701993&office_id=277&code=005930&page=3&sm=
0,역전,8.80587488303422,뺏,8.80587488303422,겼다,8.80587488303422,日,8.59298821094271,10년,6.170501371415114,,005930,2020.06.19,"韓·日 TV가격 10년만에 첫 역전…삼성·LG, 日에 1위 뺏겼다",https://finance.naver.com/item/news_read.nhn?article_id=0001688611&office_id=016&code=005930&page=3&sm=
0,역전,8.80587488303422,뺏,8.80587488303422,겼다,8.80587488303422,日,8.59298821094271,래,8.04437487261541,,005930,2020.06.19,"韓·日, TV가격 10년래 첫 역전…삼성·LG,日에 1위 뺏겼다",https://finance.naver.com/item/news_read.nhn?article_id=0001688552&office_id=016&code=005930&page=3&sm=
0,이통,7.023472090153149,캐나다,6.632515907600914,번째,6.521374851777792,신규,5.9913902584496315,수주,5.812435394223963,,005930,2020.06.19,"삼성, 캐나다 이통사에 5G 장비 공급…""4번째 신규 수주""",https://finance.naver.com/item/news_read.nhn?article_id=0004598563&office_id=009&code=005930&page=3&sm=
0,텔러스,8.325421869116017,이통,7.023472090153149,통신,6.862733538915401,캐나다,6.632515907600914,장비,5.7860344432937,,005930,2020.06.19,"삼성, 캐나다 이통사 ‘텔러스’에 5G 통신장비 공급",https://finance.naver.com/item/news_read.nhn?article_id=0004668080&office_id=018&code=005930&page=3&sm=
0,G,8.817748564971065,텔러스,8.325421869116017,5,8.298088584679494,광폭,7.624233549334209,행보,6.9287975213254285,,005930,2020.06.19,삼성전자 5G 광폭 행보…캐나다 텔러스에 5G 장비 공급,https://finance.naver.com/item/news_read.nhn?article_id=0004701719&office_id=277&code=005930&page=3&sm=
0,일러,9.28632789695242,에누리,9.28632789695242,트롬,8.524827886533611,비교,7.40925053524363,스타,6.496166721757143,,005930,2020.06.19,"삼성 그랑데AI 건조기, LG트롬스타일러...가격비교 에누리 상반기 '...",https://finance.naver.com/item/news_read.nhn?article_id=0003755929&office_id=011&code=005930&page=3&sm=
0,붙는다,7.563921858697209,미세,7.508440481548913,먼저,7.0834688447790075,누가,7.001827865695994,공정,6.679262641237687,,005930,2020.06.19,3나노 양산은 누가 먼저...삼성-TSMC '미세공정' 경쟁 불붙는다,https://finance.naver.com/item/news_read.nhn?article_id=0004446209&office_id=014&code=005930&page=3&sm=
0,칼라일,8.524827886533611,IB,7.844968855197816,역량,6.496166721757143,KB,6.3316633585516175,강화,5.3374036093947685,,005930,2020.06.19,"KB금융, 칼라일 제휴…IB 역량 강화 기대-삼성",https://finance.naver.com/item/news_read.nhn?article_id=0004668034&office_id=018&code=005930&page=3&sm=
0,WTO,8.524827886533611,애국,7.209844517826036,테마,6.647750524824822,분쟁,6.2151197252565344,일,6.175042252713759,,005360,2020.06.19,[특징주]한·일 WTO분쟁에 모나미·신성통장 애국테마株 급등,https://finance.naver.com/item/news_read.nhn?article_id=0004668331&office_id=018&code=005360&page=1&sm=
0,`,8.995331211129539,WTO,8.524827886533611,한일,7.763327876114802,애국,7.209844517826036,분쟁,6.2151197252565344,,005360,2020.06.19,WTO 한일 분쟁 본격화에 `모나미` 등 `애국주` 강세,https://finance.naver.com/item/news_read.nhn?article_id=0004598569&office_id=009&code=005360&page=1&sm=
0,WTO,8.524827886533611,한일,7.763327876114802,애국,7.209844517826036,테마,6.647750524824822,분쟁,6.2151197252565344,,005360,2020.06.19,모나미 등 애국테마株 급등…WTO 한일 분쟁 본격화 영향,https://finance.naver.com/item/news_read.nhn?article_id=0004427444&office_id=008&code=005360&page=1&sm=
0,도달,7.364515841279615,상한,6.712275889110161,배열,5.777204423492995,정,5.60349415284536,상승세,5.586628425876106,,005360,2020.06.19,"'모나미' 상한가↑ 도달, 단기·중기 이평선 정배열로 상승세",https://finance.naver.com/item/news_read.nhn?article_id=0004363738&office_id=015&code=005360&page=1&sm=
0,구간,7.0834688447790075,10%,6.028203184126026,배열,5.777204423492995,상승세,5.586628425876106,이평,5.442085170582064,,005360,2020.06.19,"'모나미' 10% 이상 상승, 주가 상승세, 단기 이평선 역배열 구간",https://finance.naver.com/item/news_read.nhn?article_id=0004363645&office_id=015&code=005360&page=1&sm=
0,20.0%,9.28632789695242,불매운동,6.679262641237687,테마,6.647750524824822,수혜,6.198809627319485,제품,5.973691922154366,,005360,2020.06.19,"모나미, 日제품 불매운동(수혜) 테마 상승세에 20.0% ↑",https://finance.naver.com/item/news_read.nhn?article_id=0004701808&office_id=277&code=005360&page=1&sm=
0,변혁,8.80587488303422,찜,7.364515841279615,온다,7.3224940555950395,"""···",6.783430326569674,기,6.302977312651472,,006400,2020.06.21,"[이번주 추천주] ""전기차 변혁기 온다""···삼성SDI·LG화학 '찜'",https://finance.naver.com/item/news_read.nhn?article_id=0003756513&office_id=011&code=006400&page=1&sm=
0,포인트,5.792350499497581,주간,5.596698537820178,마켓,5.303363356504949,매수,5.065723609233454,순,5.054807680002537,,006400,2020.06.21,[마켓포인트]코스피 주간 외국인 순매수 1위 ‘삼성SDI’,https://finance.naver.com/item/news_read.nhn?article_id=0004669515&office_id=018&code=006400&page=1&sm=
0,대세,7.508440481548913,헬,6.021930316150864,스케,5.997391570229133,추천,5.878541715899957,證,5.759874841358982,,006400,2020.06.20,[SK證 주간추천주]‘기술·바이오주가 대세’ 삼성SDI·셀트리온헬스케어,https://finance.naver.com/item/news_read.nhn?article_id=0004668853&office_id=018&code=006400&page=1&sm=
0,823,9.28632789695242,37만,7.844968855197816,33만,7.763327876114802,최근,6.632515907600914,5일,6.080541031258029,,006400,2020.06.19,"삼성SDI, 최근 5일 외국인 33만 823주 순매수... 주가 37만...",https://finance.naver.com/item/news_read.nhn?article_id=0004702119&office_id=277&code=006400&page=1&sm=
0,2,7.063782202911683,대형,6.695572739174737,부문,6.015713707838941,하나,5.953118712254158,차전지,5.95077587869135,,006400,2020.06.19,"삼성SDI, 2Q 중·대형 2차전지 부문 성장세 지속-하나",https://finance.naver.com/item/news_read.nhn?article_id=0004668114&office_id=018&code=006400&page=1&sm=
0,5.02%,8.524827886533611,(-,8.330429369700687,0.93%,8.325421869116017,19일,6.764945306294197,...,6.080541031258029,,000660,2020.06.19,"19일, 기관 거래소에서 SK하이닉스(-0.93%), SK(-5.02%...",https://finance.naver.com/item/news_read.nhn?article_id=0004364153&office_id=015&code=000660&page=1&sm=
0,68만,9.28632789695242,6717,9.28632789695242,8만,7.282874862196601,최근,6.632515907600914,개인,6.087370122759543,,000660,2020.06.19,"SK하이닉스, 최근 5일 개인 68만 6717주 순매수... 주가 8만...",https://finance.naver.com/item/news_read.nhn?article_id=0004701888&office_id=277&code=000660&page=1&sm=
0,1600억,8.524827886533611,외국,7.624233549334209,입금,7.282874862196601,계,6.695572739174737,비상,6.2151197252565344,,003620,2020.06.21,"쌍용차, 1600억 외국계 은행 차입금 비상",https://finance.naver.com/item/news_read.nhn?article_id=0004669968&office_id=018&code=003620&page=1&sm=
0,주인,7.245398320212399,공식,6.122562816942604,새,5.92859327586875,매각,5.353879869907361,?,5.1132850372849585,,003620,2020.06.20,"'매각 공식화' 쌍용차, 새 주인은?",https://finance.naver.com/item/news_read.nhn?article_id=0003756372&office_id=011&code=003620&page=1&sm=
